ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Mounted
1	MC34063AG-D08-T	IC1	DIL08	1	MC34063AG-D08-T	UTC	LCSC	C71110	Yes
2	3.3k	RH9	AXIAL-0.4	1	?				Yes
3	511k	RH7	AXIAL-0.4	1	?				Yes
4	2K	RH8	RES-ADJ_3362P	1	3362X-1-202LF	BOURNS	LCSC	C123863	Yes
5	1k	RH6	AXIAL-0.4	1	?				Yes
6	2N2907	QH2	TO-226AA	1	?				Yes
7	FR104	D1	DO-41	1	FR104	MDD	LCSC	C2465	Yes
8	MC78M05CDT-1	IC6	369-03	1	?				Yes
9	MPSA42	QNR,QN0,QNL,QAN1,QN1,QN2,QN3,QN4,QN5,QN6,QN7,QN8,QN9,QAN2,QAN3,QAN4,QAN5,QAN6,QAN7,QAN8	TO-226AA	20	MPSA42	SEMTECH	LCSC	C118557	Yes
10	IN-14	TU2,TU3,TU4,TU5,TU7,TU8,TU6,TU1	NIXIE-SOCKEL	8	IN-14				Yes
11	51k	RTNR,RTNL,RTN0,RTP1,RTN1,RTN2,RTN3,RTN4,RTN5,RTN6,RTN7,RTN8,RTN9,RTP2,RTP3,RTP4,RTP5,RTP6,RTP7,RTP8,RTL1,RTR1,RTL2,RTR2,RTL3,RTR3,RTL4,RTR4,RTL5,RTR5,RTL6,RTR6,RTL7,RTR7,RTL8,RTR8	R_0603	36	?				Yes
12	MPSA92	QAP1,QAP2,QAP3,QAP4,QAP5,QAP6,QAP7,QAP8	TO-226AA	8	MPSA92	SEMTECH	LCSC	C118558	Yes
13	1M	RTU1,RTU2,RTU3,RTU4,RTU5,RTU6,RTU7,RTU8	R_0603	8	?				Yes
14	1	RH1,RH2,RH3,RH4,RH5	1206	5	?				Yes
15	CD4514BCN	IC5	DIP24W	1	?				Yes
16	ATMEGA328P-PU	IC2	DIP28	1	ATMEGA328P-PU	MICROCHIP	LCSC	C33901	Yes
17	DS1307	IC3	DIL08	1	?				Yes
18	CR1220-2	B1	BH5000_SMALL	1	CR1220-2	Q&J	LCSC	C70381	Yes
19	10k	R5V,R21,R22,R23	0603'	4	?				Yes
20	32.768KHz	X1	CRYSTAL_AT310_D3.0MM_L10.0MM_VERTICAL	1	DT-26 32.768KHz	KDS	LCSC	C93229	Yes
21	2.2k	RSCL,RSDA	0603'	2	?				Yes
22	100n	CRTC,CCPU,CP,CN	0603'	4	?				Yes
23	FTDI_1x5	H1	DIP-1X5P-2.54MM-M	1	210S-1*5P L=11.6MMGold-plated black	Ckmtw	LCSC	C124379	Yes
24	2N2222	QB,QG,QR	TO-92	3	?				Yes
25	22k	RR,RG,RB	0603'	3	?				Yes
26	5050 RGB	RGB1,RGB2,RGB3,RGB6,RGB8,RGB4,RGB7,RGB5	5050_KINGBRIGHT	8	?				Yes
27	JUMPER-2PTH	JP2	1X02	1	?				Yes
28	SWITCH,6*6*5	RST,BTN1,BTN2	SWITCH-6X6X5_TH	3	Switch,6*6*5Plastic head,260G, 0.25mm,DIP2	BBJ	LCSC	C71845	Yes
29	1N914	D2	DO-35	1	1N914	FAIRCHILD	LCSC	C96325	Yes
30	470k	RTB1,RTB2,RTB3,RTB4,RTB5,RTB6,RTB7,RTB8	R_0603	8	?				Yes
31	74HC238N	IC4	DIP16-2.54-20.32X5.84MM	1	?				Yes
32	DC-005	P1	DC-005	1	DC-005	EasyEDA	EasyEDA	undefined	Yes
33	270	RB1,RB2,RB3,RB4,RB5,RB6,RB7,RB8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8	R_0603	16	?				Yes
34	620	RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8	R_0603	8	?				Yes
35	22k	RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8	R_0603	8	?				Yes
36	100u	L1	COIL	1	?				Yes
37	25V 470u	C1	CAP-D8.0XF3.5	1	?				Yes
38	0.1u	C2	RAD-0.2	1	?				Yes
39	10n	CH2	RAD-0.2	1	?				Yes
40	2.2n	CH1	RAD-0.2	1	?				Yes
41	250V 10u	CH3	CAP-D10.0XF5.0	1	?				Yes
42	Toggle SwitchesSK-12F14 G5	SW2	SK-12F14-G	1	Toggle SwitchesSK-12F14 G5	ReliaPro	LCSC	undefined	Yes
43	10u	C5V	RAD-0.2	1	?				Yes
44	LED-Yellow(0603)	LEDY	LED-0603	1	19-213/Y2C-CQ2R2L/3T(CY)	EVERLIGHT	LCSC	C72038	Yes
45	270	RY	0603'	1	?				Yes
46	IRF840PBF	QH1	TO-220(TO-220-3)	1	IRF840PBF	VISHAY	LCSC	C2604	Yes
