0.1u	C2	RAD-0.2	1	?			
1	RH1,RH2,RH3,RH4,RH5	1206	5	?			
100n	CRTC,CCPU,CP,CN,CH2	0603'	5	?			
100u	L1	COIL-TOROID-100UH-6A	1	?			
10k	R5V,R21,R22,R23	0603'	4	?			
10u	C5V	RAD-0.2	1	?			
1M	RTU1,RTU2,RTU3,RTU4,RTU5,RTU6,RTU7,RTU8	R_0603	8	?			
1N914	D2	DO-35	1	1N914	FAIRCHILD	LCSC	C96325
1k	RH6	AXIAL-0.4	1	?			
2.2k	RSCL,RSDA,RR,RG,RB	0603'	5	?			
2.2n	CH1	RAD-0.2	1	?			
22k	RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT1	R_0603	8	?			
250V 10u	CH3	CAP-D10.0XF5.0	1	?			
25V 470u	C1	CAP-D8.0XF3.5	1	?			
270	RB1,RB2,RB3,RB4,RB5,RB6,RB7,RB8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8	R_0603	16	?			
270	RY	0603'	1	?			
2K	RH8	RES-ADJ_3362P	1	3362X-1-202LF	BOURNS	LCSC	C123863
2N2222	QB,QG,QR	TO-92	3	?			
2N2907	QH2	TO-226AA	1	?			
3.3k	RH9	AXIAL-0.4	1	?			
32.768KHz	X1	CRYSTAL_AT310_D3.0MM_L10.0MM_VERTICAL	1	DT-26 32.768KHz	KDS	LCSC	C93229
470k	RTB1,RTB2,RTB3,RTB4,RTB5,RTB6,RTB7,RTB8	R_0603	8	?			
5050 RGB	RGB1,RGB2,RGB3,RGB6,RGB8,RGB4,RGB7,RGB5	5050_KINGBRIGHT	8	?			
511k	RH7	AXIAL-0.4	1	?			
51k	RTNR,RTNL,RTN0,RTP1,RTN1,RTN2,RTN3,RTN4,RTN5,RTN6,RTN7,RTN8,RTN9,RTP2,RTP3,RTP4,RTP5,RTP6,RTP7,RTP8,RTL1,RTR1,RTL2,RTR2,RTL3,RTR3,RTL4,RTR4,RTL5,RTR5,RTL6,RTR6,RTL7,RTR7,RTL8,RTR8	R_0603	36	?			
620	RG1,RG2,RG3,RG4,RG5,RG6,RG7,RG8	R_0603	8	?			
74HC238N	IC4	DIP16-2.54-20.32X5.84MM	1	?			
ATMEGA328P-PU	IC2	DIP28	1	ATMEGA328P-PU	MICROCHIP	LCSC	C33901
CD4514BCN	IC5	DIP24W	1	?			
CR1220-2	B1	BH5000_SMALL	1	CR1220-2	Q&J	LCSC	C70381
DC-005	P1	DC-005	1	DC-005	EasyEDA	EasyEDA	undefined
DS1307	IC3	DIL08	1	?			
FR104	D1	DO-41	1	FR104	MDD	LCSC	C2465
FTDI_1x5	H1	DIP-1X5P-2.54MM-M	1	210S-1*5P L=11.6MMGold-plated black	Ckmtw	LCSC	C124379
ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part
IN-14	TU2,TU3,TU4,TU5,TU6,TU1,TU8,TU7	NIXIE-SOCKEL	8	IN-14			
IRF840PBF	QH1	TO-220(TO-220-3)	1	IRF840PBF	VISHAY	LCSC	C2604
JUMPER-2PTH	JP2	1X02	1	?			
LED-Yellow(0603)	LEDY	LED-0603	1	19-213/Y2C-CQ2R2L/3T(CY)	EVERLIGHT	LCSC	C72038
MC34063AG-D08-T	IC1	DIL08	1	MC34063AG-D08-T	UTC	LCSC	C71110
MC78M05CDT-1	IC6	369-03	1	?			
MPSA42	QNR,QN0,QNL,QAN1,QN1,QN2,QN3,QN4,QN5,QN6,QN7,QN8,QN9,QAN2,QAN3,QAN4,QAN5,QAN6,QAN7,QAN8	TO-226AA	20	MPSA42	SEMTECH	LCSC	C118557
MPSA92	QAP1,QAP2,QAP3,QAP4,QAP5,QAP6,QAP7,QAP8	TO-226AA	8	MPSA92	SEMTECH	LCSC	C118558
SWITCH,6*6*5	RST,BTN1,BTN2	SWITCH-6X6X5_TH	3	Switch,6*6*5Plastic head,260G, 0.25mm,DIP2	BBJ	LCSC	C71845
Toggle SwitchesSK-12F14 G5	SW2	SK-12F14-G	1	Toggle SwitchesSK-12F14 G5	ReliaPro	LCSC	undefined
